,value
ann_return,21.36461950170574
ann_vol,13.04269483801087
sharpe,1.1396892809594192
var_hist,-1.321909123800478
var_param,-1.2666521415086671
cvar,-1.827840339252519
cdar,-9.605932608848715
max_drawdown,-13.349597480175596
max_sharpe_return,30.182078190710364
max_sharpe_vol,13.5859879281963
max_sharpe_ratio,1.7431252195919211
min_vol_return,18.280583851422065
min_vol_vol,11.324174872559796
min_vol_sharpe,1.0403039500889568
mc_var_30d,49791.72490394756
mc_cvar_30d,67278.13534072565
