Date,Infosys,Wipro,HCL Tech,Tech Mahindra,HDFC Bank,ICICI Bank,Axis Bank,Kotak Bank,SBI,Reliance,ONGC,Power Grid,NTPC,Adani Green,HUL,ITC,Nestle,Britannia,Sun Pharma,Dr Reddy,Cipla,Maruti,Bajaj Auto,Tata Steel,JSW Steel,Bharti Airtel,L&T,Ultratech
2021-01-01,621.2061767578125,3002.03857421875,494.2081909179688,3292.924072265625,788.7807006835938,1015.8335571289062,759.400634765625,674.8863525390625,2195.60400390625,510.19146728515625,1086.0972900390625,159.7166290283203,368.8980712890625,397.1507873535156,1218.873046875,7371.6318359375,872.2166137695312,80.07532501220703,67.06397247314453,80.89330291748047,897.0470581054688,253.2423095703125,562.5928955078125,54.24435424804688,2534.897216796875,820.8375854492188,5147.884765625,178.88047790527344
2021-01-04,622.1024780273438,3037.567138671875,496.0789184570313,3279.171630859375,794.1722412109375,1021.8222045898438,783.289306640625,670.6002807617188,2231.422607421875,514.2537231445312,1110.0517578125,159.38052368164062,381.582763671875,391.4745178222656,1235.4129638671875,7382.1748046875,868.777587890625,80.07532501220703,69.76236724853516,80.44507598876953,898.5590209960938,254.73782348632807,570.2828979492188,58.45334243774414,2631.1591796875,840.9818115234375,5183.30126953125,182.7060546875
2021-01-05,661.687255859375,3011.869384765625,493.10491943359375,3277.5107421875,789.4010009765625,1024.66162109375,792.03759765625,675.667724609375,2253.539306640625,519.6215209960938,1114.8341064453125,157.92413330078125,374.15179443359375,390.3193664550781,1227.613037109375,7337.27197265625,877.3009033203125,78.90308380126953,68.32322692871094,80.25297546386719,887.3883056640625,255.3723297119141,569.3864135742188,57.40320587158203,2677.516357421875,842.5765380859375,5196.9228515625,187.2690887451172
2021-01-06,651.5296020507812,2986.0419921875,503.9455871582031,3266.9892578125,787.0631713867188,1024.93310546875,781.5315551757812,672.7551879882812,2222.962646484375,528.7614135742188,1104.7525634765625,153.40560913085938,380.2575073242188,392.4404296875,1234.84912109375,7311.5380859375,875.2681884765625,79.1052017211914,69.76236724853516,83.7320327758789,863.9860229492188,258.3633117675781,571.1320190429688,57.67733001708984,2641.5908203125,836.9530029296875,5301.17919921875,187.315185546875
2021-01-07,668.3095703125,2964.69873046875,523.0845336914062,3279.07958984375,788.7329711914062,1021.560791015625,769.02783203125,670.7188110351562,2178.407470703125,523.34521484375,1087.56201171875,151.46377563476562,383.7599792480469,388.8554382324219,1258.2962646484375,7251.58740234375,856.9286499023438,78.41802215576172,70.44596099853516,84.1162338256836,862.5867919921875,260.7652893066406,567.9240112304688,60.96691131591797,2625.4033203125,834.9385986328125,5252.14013671875,187.47650146484372
2021-01-08,669.9029541015625,3043.344970703125,518.287841796875,3299.7998046875,800.3270874023438,1034.6138916015625,794.6741333007812,678.011962890625,2198.96044921875,524.2639770507812,1130.6026611328125,150.49285888671875,381.3460998535156,392.500244140625,1290.6710205078125,7681.7822265625,865.38818359375,80.96459197998047,72.4247817993164,86.89092254638672,872.7647094726562,259.2244567871094,585.757080078125,60.152957916259766,2701.66845703125,882.2356567382812,5440.705078125,198.2849578857422
2021-01-11,664.1768188476562,3119.40380859375,524.9073486328125,3334.50341796875,817.6466674804688,1049.8377685546875,842.970458984375,687.3889770507812,2233.813720703125,526.8270263671875,1185.8359375,151.23974609375,377.7489318847656,386.017333984375,1268.6806640625,7890.57763671875,869.4158325195312,80.03490447998047,73.7919692993164,86.89092254638672,856.3131713867188,256.0520935058594,585.9457397460938,58.6768684387207,2749.75634765625,904.478271484375,5471.79248046875,205.9361114501953
2021-01-12,672.8904418945312,3125.35400390625,542.7511596679688,3351.854736328125,804.5736083984375,1037.637451171875,848.5631713867188,701.383544921875,2184.890380859375,530.0187377929688,1182.0015869140625,154.18983459472656,378.2222595214844,379.1062316894531,1268.4927978515625,7847.73583984375,850.8682250976562,80.96459197998047,74.4395751953125,86.95497131347656,883.3036499023438,265.11590576171875,575.2364501953125,58.61360168457031,2748.371337890625,893.2310791015625,5486.67919921875,210.9600524902344
2021-01-13,684.9400634765625,3105.218017578125,554.7430419921875,3342.163330078125,803.18994140625,1025.2625732421875,843.6497192382812,696.4819946289062,2181.6259765625,538.2398071289062,1195.271240234375,157.77476501464844,381.4407958984375,374.8539733886719,1271.030029296875,7801.5390625,851.8232421875,82.90483093261719,75.73480987548828,87.50990295410156,875.0665893554688,278.0770568847656,568.3013305664062,59.8155632019043,2734.606689453125,897.8056030273438,5498.11181640625,211.5592498779297
2021-01-14,673.189208984375,3083.7890625,556.9495239257812,3383.05078125,802.4264526367188,1028.9256591796875,821.079345703125,695.5820922851562,2205.719482421875,535.1448364257812,1180.9244384765625,159.940673828125,375.2404174804688,376.9551696777344,1293.6783447265625,7810.740234375,857.1792602539062,82.62187957763672,75.59089660644531,87.55257415771484,884.9058837890625,278.4849548339844,572.7832641601562,59.57939147949219,2819.386474609375,883.4948120117188,5431.5595703125,209.4160003662109
2021-01-15,672.0438842773438,3087.453857421875,578.1510620117188,3330.995849609375,786.0135498046875,1010.3003540039062,790.7992553710938,694.5875854492188,2162.130126953125,525.182861328125,1158.90869140625,162.70407104492188,373.1578979492188,371.2290649414063,1272.5806884765625,7691.22265625,843.0635375976562,81.20711517333984,72.96446990966797,86.6561508178711,874.457275390625,275.4032897949219,570.1884155273438,59.54142379760742,2804.33984375,845.4722900390625,5304.9736328125,202.13357543945312
